Posted On,BHK,Rent,Size,Floor,Area Locality,City,Bathroom,Area Type_Carpet Area,Area Type_Super Area,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family,Point of Contact_Contact Builder,Point of Contact_Contact Owner
2022-05-23,2,15000,480,Ground out of 3,shukhobrishti,Kolkata,2,1,0,0,0,1,0,0,1
2022-06-21,6,20000,1000,1 out of 1,Sonarpur,Kolkata,2,0,1,1,0,1,0,0,1
2022-06-22,2,6700,800,1 out of 2,"Baishnavghata patuli , house number s-300 Kolkata 700094",Kolkata,1,0,1,0,0,1,0,0,1
2022-05-27,1,10000,435,2 out of 3,Kasba,Kolkata,1,0,1,0,1,1,0,0,1
2022-05-07,2,7000,700,Ground out of 2,Dum Dum Metro,Kolkata,2,1,0,1,0,1,0,0,0
2022-06-25,2,22000,800,4 out of 4,"Hazra, Kalighat",Kolkata,1,0,1,0,0,1,0,0,0
2022-06-27,2,6500,450,1 out of 3,Ajoy Nagar,Kolkata,1,0,1,0,1,1,0,0,1
2022-05-31,2,8500,550,2 out of 3,Kasba -East,Kolkata,1,1,0,1,0,1,0,0,0
2022-06-03,2,18000,800,Ground out of 4,Salt Lake City,Kolkata,2,1,0,0,1,0,0,0,0
2022-06-27,2,12000,550,Ground out of 2,Baghajatin,Kolkata,2,1,0,1,0,0,1,0,1
2022-05-15,1,9000,600,2 out of 4,Behala,Kolkata,1,0,1,0,0,1,0,0,1
2022-06-09,1,6000,500,Ground out of 1,"New Garia, Garia",Kolkata,1,0,1,0,1,1,0,0,1
2022-04-28,2,20000,1000,1 out of 2,Anandapur,Kolkata,2,0,1,0,0,1,0,0,1
2022-05-23,1,5000,300,1 out of 2,Dum Dum Metro,Kolkata,1,1,0,0,1,1,0,0,1
2022-06-28,2,12000,1200,1 out of 3,Boral,Kolkata,2,0,1,0,0,1,0,0,1
2022-06-23,2,10000,500,3 out of 4,"Rabindra Pally, Keshtopur",Kolkata,1,1,0,1,0,1,0,0,1
